portid,ISO3,continent,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export
port0,AUS,Asia & Pacific,-19.89375525,148.0776204,367.0,0.0,367.0,0.0,0.0,0.0,87158.00238265212,87158.00238265212,0.0,65082869.57389947,0.0,0.0,0.0,65082869.57389947,65082869.57389947
port1,DNK,Europe,55.04254248,9.428136552,360.0,23.0,62.0,185.0,0.0,2304920.808539449,3734313.8022526847,6039234.610792134,60127.16932598643,465615.0737174875,251954.29653933656,0.0,2053760.0242198778,777696.5395828106,2831456.5638026884
port10,MAR,Africa,30.43857835,-9.649161718,577.0,204.0,65.0,116.0,0.0,2829868.9965455937,4776902.77176045,7606771.768306043,1829378.316836565,2000004.8986789635,481624.69430101063,545.532736111258,61999.7312860561,4311553.44255265,4373553.173838707
port100,AZE,Europe,40.28461052,49.73252397,1661.0,3.0,27.0,797.0,0.0,9058766.620346466,3263725.929560773,12322492.549907237,0.0,27781.97265378069,1520842.3926182992,0.0,1567595.4220973102,1548624.3652720798,3116219.7873693905
port1000,BRA,South America,-9.679541135,-35.72300929,225.0,0.0,84.0,7.0,0.0,1270164.7173552415,2120296.596426831,3390461.3137820726,0.0,3172316.2747347876,241137.96020982377,0.0,874833.082677079,3413454.2349446113,4288287.31762169
port1001,BRA,South America,-3.713436299,-38.4715357,454.0,50.0,90.0,20.0,0.0,5742261.522572642,3709930.617386011,9452192.139958654,850087.8036722147,1889690.2689637349,119147.84875399368,0.0,1053599.084221857,2858925.921389943,3912525.0056117997
port1002,BRA,South America,-8.389473356,-34.97291034,1455.0,475.0,56.0,35.0,55.0,24246067.425613955,10555322.823574977,34801390.24918893,1604190.7815957824,819189.1835222542,295590.33798368624,208759.94481945958,14133514.994414257,2927730.2479211823,17061245.24233544
port1003,ITA,Europe,45.21278514,12.26985918,243.0,6.0,51.0,184.0,0.0,0.0,1523956.7404533674,1523956.7404533674,10605.361542424429,35799.7446909069,531402.2074595208,389.576458499028,0.0,578196.8901513511,578196.8901513511
port1004,ITA,Europe,44.45944499,12.25275668,2145.0,379.0,493.0,729.0,20.0,7287168.3271790575,38753400.846680276,46040569.173859335,1536992.5843578565,1682427.5522518584,2910024.361884342,107237.36191727703,1066836.8908849638,6236681.860411334,7303518.751296298
port1005,ITA,Europe,45.45052227,12.24239331,2276.0,673.0,373.0,563.0,25.0,9896085.210472936,27677919.43945751,37574004.64993045,5975463.269844747,392633.9504532786,2034758.4583545655,18705.851375012662,1383254.289797283,8421561.530027604,9804815.819824887
port1006,ITA,Europe,45.33112972,12.32719834,901.0,356.0,37.0,212.0,19.0,8636032.427065518,3272351.466725965,11908383.893791484,2912281.2947025374,12467.115474950899,768583.1195231044,10015.739891162983,398786.0454024212,3703347.2695917557,4102133.314994177
port1007,ITA,Europe,39.8641519,8.560153432,143.0,7.0,22.0,97.0,0.0,343549.41422179755,1608347.6846687899,1951897.0988905875,127865.64854502957,29051.924204226252,714976.3104531828,0.0,13653.097764756589,871893.8832024385,885546.9809671951
port1008,ITA,Europe,38.1302104,13.36777406,452.0,136.0,2.0,196.0,0.0,72635.78205726024,1654772.4068432024,1727408.1889004626,327906.83193610125,14137.17170555724,277431.8388951293,0.0,135277.2606301305,619475.8425367877,754753.1031669183
port1009,CPV,Africa,16.89422079,-24.99565966,592.0,84.0,113.0,202.0,3.0,1043903.36898531,1450132.2175476004,2494035.5865329104,76945.68948269245,936468.3381919077,117150.0050287661,2692.756517830454,1681826.1604428915,1133256.7892211967,2815082.949664088
port101,PAN,North America,8.95532195,-79.56547193,2327.0,1612.0,20.0,23.0,91.0,5435241.293924612,38221427.61093407,43656668.90485868,28340895.590225533,396040.5454506314,292613.78282515943,243224.71793574994,1528525.6490300978,29272774.636437077,30801300.285467174
port1010,BRA,South America,-3.538117253,-38.80469227,687.0,390.0,207.0,47.0,0.0,1121144.3643626396,30495004.53653905,31616148.90090169,2509084.342382137,8616877.753061786,499744.1949060499,3859.60220014874,919946.0503271567,11629565.892550122,12549511.94287728
port1011,ITA,Europe,40.83365381,8.359909225,178.0,43.0,23.0,60.0,0.0,981953.6504169093,4564479.733439006,5546433.383855915,168431.69203819914,30523.886286875637,711026.0659177304,0.0,32488.223980410592,909981.6442428052,942469.8682232158
port1012,BRA,South America,-19.8395104,-40.05809138,267.0,43.0,24.0,162.0,0.0,184120.45634919291,511078.65080057114,695199.1071497641,4726391.668695704,1795433.6270931326,15710674.278152823,0.0,80430.10077872897,22232499.57394166,22312929.674720388
port1013,ITA,Europe,42.93701819,10.54495084,222.0,8.0,28.0,172.0,0.0,51714.19424741057,3165171.1700676535,3216885.364315064,16723.26812738398,122339.5184519612,417703.3903782857,0.0,287088.10738233436,556766.176957631,843854.2843399653
port1014,GBR,Europe,50.80555434,-1.107423076,415.0,114.0,4.0,144.0,0.0,131721.52484754336,453878.6623208825,585600.1871684258,173423.8155175509,2751.808673950367,199981.86573787022,0.0,84990.6471108613,376157.4899293715,461148.1370402328
port1015,FIN,Europe,60.31212422,25.53603861,1159.0,4.0,0.0,40.0,0.0,37873959.84997558,213158.70315955405,38087118.55313513,31826.583184731597,0.0,168029.50013279202,0.0,23342587.161091674,199856.08331752362,23542443.244409196
port1016,GEO,Europe,42.15927035,41.65710885,831.0,221.0,67.0,420.0,34.0,1107249.384239381,6706977.795173073,7814227.179412454,247038.0261736749,2845817.3758389056,3638284.9641684867,28014.492934634225,15692.749417711282,6759154.859115702,6774847.608533413
port1017,ITA,Europe,40.82286509,14.11641496,5.0,0.0,0.0,4.0,0.0,0.0,499.897737686104,499.897737686104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
port1018,PRT,Europe,38.71152974,-27.05278213,287.0,120.0,7.0,130.0,0.0,196074.482254841,710971.8457899744,907046.3280448155,101960.37604157031,4303.369939840213,11548.882022952872,0.0,39881.09519054772,117812.6280043634,157693.72319491112
port1019,USA,North America,46.56113916,-87.39431636,151.0,0.0,148.0,3.0,0.0,0.0,284187.8930054115,284187.8930054115,0.0,3443382.2265361673,0.0,0.0,0.0,3443382.2265361673,3443382.2265361673
port102,IDN,Asia & Pacific,-1.202534486,116.79598,2207.0,244.0,383.0,243.0,111.0,3515709.9769162773,2155209.447850623,5670919.4247669,150926.10184783186,52998534.66631752,949594.7077086826,46680.708397050425,10839647.52957723,54145736.18427109,64985383.71384832
port1020,RUS,Europe,60.33694122,28.73119074,962.0,0.0,0.0,0.0,0.0,948413.7614862697,0.0,948413.7614862697,0.0,0.0,0.0,0.0,166337067.92944744,0.0,166337067.92944744
port1021,CAN,North America,54.26668285,-130.3377598,523.0,180.0,278.0,5.0,0.0,8952.090489158452,10818436.478510905,10827388.569000063,604768.6846123168,48287871.93218685,204023.440476123,0.0,5033373.361141599,49096664.05727529,54130037.418416895
port1022,IDN,Asia & Pacific,-7.71711305,113.4157124,243.0,0.0,85.0,135.0,0.0,12101.6977352679,5476741.945753661,5488843.643488929,0.0,550802.8347273888,837686.9867666331,0.0,184982.70417623044,1388489.821494022,1573472.5256702525
port1023,MEX,North America,21.34384604,-89.67539375,615.0,199.0,129.0,107.0,0.0,3151946.4401689535,9541988.304480894,12693934.744649848,832040.0033436695,688436.7428410858,209779.66886603986,0.0,586250.508034074,1730256.4150507953,2316506.923084869
port1024,USA,North America,41.78624139,-71.38334181,232.0,7.0,72.0,10.0,10.0,5837811.7060319325,3315744.4139386704,9153556.119970603,111793.78930948704,1619546.5429924978,169296.70887968913,100226.61017903552,68093.90591825523,2000863.6513607092,2068957.5572789644
port1025,TCA,North America,21.74055089,-72.279852,222.0,0.0,108.0,66.0,0.0,129805.94035791968,458774.02983736875,588579.9701952884,0.0,31222.413540881982,11496.176323288397,0.0,29996.757709110923,42718.589864170375,72715.3475732813
