portid,portname,country,ISO3
port1325,Tsuruga,Japan,JPN
port1198,Sibolga,Indonesia,IDN
port339,Fang-Cheng,China,CHN
port1335,Ube,Japan,JPN
port153,Bluff Harbor,New Zealand,NZL
port1334,Tynemouth,United Kingdom,GBR
port897,Penglai,China,CHN
port750,Misrata,Libya,LBY
port563,Khorramshahr,Iran,IRN
port1343,Uno,Japan,JPN
port1224,Stagen,Indonesia,IDN
port834,Nowshahr Port,Iran,IRN
port1069,Qingdao,China,CHN
port1345,Uwajima,Japan,JPN
port23,Alexandria,Egypt,EGY
port743,Mina Al Ahmadi,Kuwait,KWT
port1400,Wisbech,United Kingdom,GBR
port1378,Wakamatsu (Kitakyushu),Japan,JPN
port1070,Dongjiakou,China,CHN
port71,As Suways,Egypt,EGY
port45,Amsterdam,The Netherlands,NLD
port1237,Tanjung Perak,Indonesia,IDN
port1379,Wakayama-Shimotsu,Japan,JPN
port458,Hay Point,Australia,AUS
port1402,Workington,United Kingdom,GBR
port1071,Qinzhou,China,CHN
port396,Gisborne,New Zealand,NZL
port1072,Qinhuangdao,China,CHN
port1262,Tanah Merah,Indonesia,IDN
port1142,San Giorgio,Italy,ITA
port1073,Qiwei,China,CHN
port1411,Yatsushiro,Japan,JPN
port767,Morehead City,United States,USA
port191,Safaga,Egypt,EGY
port1412,Yawatahama,Japan,JPN
port370,Fuzhou,China,CHN
port1416,Yokkaichi,Japan,JPN
port1074,Quanzhou,China,CHN
port1267,Tanjung Benete,Indonesia,IDN
port285,Delfzijl,The Netherlands,NLD
port4,Abidjan,Côte d'Ivoire,CIV
port192,Port Said,Egypt,EGY
port1105,Rizhao,China,CHN
port469,Hobart,Australia,AUS
port1417,Yokohama,Japan,JPN
port1268,Tanjung Geren,Indonesia,IDN
port1418,Yokosuka,Japan,JPN
port274,Damietta,Egypt,EGY
port16,Aktau Port,Kazakhstan,KAZ
port1146,San Pedro,Côte d'Ivoire,CIV
port129,Bautino,Kazakhstan,KAZ
port321,Al Adabiyah,Egypt,EGY
port5,Abu Dhabi,United Arab Emirates,ARE
port17,Akureyri,Iceland,ISL
port13,Ajman,United Arab Emirates,ARE
port295,Djupivogur,Iceland,ISL
port22,Al Hamriyah LPG Terminal,United Arab Emirates,ARE
port329,Eskifjordhur,Iceland,ISL
port72,Sharjah,United Arab Emirates,ARE
port1098,Reykjavik,Iceland,ISL
port306,Dubai,United Arab Emirates,ARE
port19,Al Aqabah,Jordan,JOR
port808,New Bedford,United States,USA
port1151,Sanshandaocun,China,CHN
port362,Al Fujayrah,United Arab Emirates,ARE
port1187,Shantou,China,CHN
port512,Jabal Az Zannah-Ruways,United Arab Emirates,ARE
port1188,Shanghai,China,CHN
port561,Khor al Fakkan,United Arab Emirates,ARE
port1189,Shekou (Shenzhen),China,CHN
port744,Jebel Ali,United Arab Emirates,ARE
port1191,Shidao Newport,China,CHN
port747,Mina Saqr,United Arab Emirates,ARE
port1192,Shijing Longxiang,China,CHN
port1340,Umm al Qaiwain,United Arab Emirates,ARE
port1195,Shougang Jingtang,China,CHN
port794,Napier,New Zealand,NZL
port20,Al Basrah,Iraq,IRQ
port1167,Sarroch Oil Terminal,Italy,ITA
port1341,Umm Qasr,Iraq,IRQ
port375,Gaogang,China,CHN
port21,Ras Lanuf (Al Burayqah),Libya,LBY
port85,Az Zawiyah,Libya,LBY
port26,Latakia,Syria,SYR
port110,Benghazi,Libya,LBY
port334,Ez Zueitina,Libya,LBY
port316,Eemshaven,The Netherlands,NLD
port562,Khoms,Libya,LBY
port710,Mellitah (Marsa Sabratah),Libya,LBY
port809,New Haven,United States,USA
port734,Marsa Tobruk,Libya,LBY
port748,Tripoli,Libya,LBY
port804,Nelson,New Zealand,NZL
port1431,Palma de Mallorca,Spain,ESP
