portid,ISO3,continent,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,disaster_indicator,resilience_cluster,portname,impact_score,cargo_redistributed,available_capacity,cargo_received
port1030,NIC,North America,14.0223709,-83.38873222,2,0,0,0,0,2,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.13,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Puerto Cabezas,0,0.0,,
port1144,MEX,North America,20.57479256,-87.13206904,148,3,120,24,0,0,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.3,6.93,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6750.4425250405,0.0,0.0,0.0,6750.4425250405,6750.4425250405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,San Miguel De Cozumel,0,0.0,,
port1192,CHN,Asia & Pacific,24.6609656,118.4382757,20,0,0,10,0,9,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Shijing Longxiang,0,0.0,,
port1245,USA,North America,46.17600891,-60.21659641,80,0,34,0,0,45,Mineral Products,Chemical & Allied Industries,Vegetable Products,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Sydney,0,0.0,,
port125,PHL,Asia & Pacific,13.74477092,121.0239173,2196,361,125,320,290,1099,Mineral Products,Chemical & Allied Industries,Stone & Glass,9.5,4.97,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173.43933834074,0.0,0.0,0.0,0.0,2173.43933834074,2173.43933834074,1,1,Batangas City,0,2173.43933834074,,
port126,USA,North America,30.43704677,-91.20632261,346,0,107,8,0,230,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.45,1.28,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14037.5128614747,0.0,0.0,513.319086812509,14037.5128614747,14550.8319482872,1,1,Baton Rouge,0,14550.8319482872,,
port1307,MDG,Africa,-23.37321861,43.66993419,63,0,15,29,0,19,Mineral Products,Vegetable Products,Chemical & Allied Industries,2.75,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Toliara,0,0.0,,
port1331,IND,Asia & Pacific,8.765928225,78.18889725,1294,483,362,313,0,136,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,4.66,1.19,2.0,5.0,1.0,0.0,0.0,8.0,8.0,4932.75256503131,70997.9957266178,33.6335133250326,0.0,0.0,75964.3818049741,75964.3818049741,1534.82858732091,5411.13164570226,11.1801270621199,0.0,0.0,6957.14036008529,6957.14036008529,1,1,V. O. Chidambaranar (Tuticorin),0,6957.14036008529,,
port137,MOZ,Africa,-19.8110704,34.83983895,574,182,197,33,0,161,Mineral Products,Vegetable Products,Metals,46.04,11.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Beira,0,0.0,,
port182,PHL,Asia & Pacific,8.517492767,124.752947,720,320,12,148,0,239,Mineral Products,Machinery & Electrical Equipment,Prepared Foodstuffs & Beverages,1.58,1.73,2.0,0.0,2.0,0.0,1.0,4.0,5.0,7407.42102528718,0.0,0.0,0.0,0.0,7407.42102528718,7407.42102528718,1229.5295691368,0.0,0.0,0.0,0.0,1229.5295691368,1229.5295691368,1,1,Buco,0,1229.5295691368,,
port205,NGA,Africa,5.007882924,8.325139169,145,0,37,17,0,90,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.8,4.68,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Calabar,0,0.0,,
port207,IND,Asia & Pacific,22.53574401,88.29958111,739,478,4,242,1,12,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,0.34,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Calcutta,0,0.0,,
port212,USA,North America,28.41097835,-80.61594935,203,5,82,56,4,54,Mineral Products,Wood & Wood Products,Stone & Glass,0.55,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,Canaveral Harbor,0,0.0,,
